Class 1,Class 2,Freq
Brazil,Playin,3
Brazil,Main,0
Brazil,Quarterfinals,0
Brazil,Semifinals,0
Brazil,Finals,0
Brazil,winner,0
China,Playin,0
China,Main,4
China,Quarterfinals,4
China,Semifinals,2
China,Finals,1
China,winner,1
Europe,Playin,2
Europe,Main,5
Europe,Quarterfinals,3
Europe,Semifinals,1
Europe,Finals,0
Europe,winner,0
Japan,Playin,2
Japan,Main,1
Japan,Quarterfinals,0
Japan,Semifinals,0
Japan,Finals,0
Japan,winner,0
Korea,Playin,0
Korea,Main,0
Korea,Quarterfinals,3
Korea,Semifinals,4
Korea,Finals,2
Korea,winner,2
Latin America,Playin,2
Latin America,Main,0
Latin America,Quarterfinals,0
Latin America,Semifinals,0
Latin America,Finals,0
Latin America,winner,0
North America,Playin,0
North America,Main,5
North America,Quarterfinals,1
North America,Semifinals,0
North America,Finals,0
North America,winner,0
Oceania,Playin,3
Oceania,Main,0
Oceania,Quarterfinals,0
Oceania,Semifinals,0
Oceania,Finals,0
Oceania,winner,0
PCS,Playin,2
PCS,Main,4
PCS,Quarterfinals,0
PCS,Semifinals,0
PCS,Finals,0
PCS,winner,0
Turkey,Playin,3
Turkey,Main,0
Turkey,Quarterfinals,0
Turkey,Semifinals,0
Turkey,Finals,0
Turkey,winner,0
Vietnam,Playin,4
Vietnam,Main,0
Vietnam,Quarterfinals,0
Vietnam,Semifinals,0
Vietnam,Finals,0
Vietnam,winner,0
